"","x","address","lat","long","addresstype"
"1",1,"Afghanistan",33.7680065,66.2385139,"country"
"2",2,"Algeria",28.0000272,2.9999825,"country"
"3",3,"Andorra",42.5407167,1.5732033,"country"
"4",4,"Angola",-11.8775768,17.5691241,"country"
"5",5,"Antigua and Barbuda",17.2234721,-61.9554608,"country"
"6",6,"Argentina",-34.9964963,-64.9672817,"country"
"7",7,"Australia",-24.7761086,134.755,"country"
"8",8,"Austria",47.59397,14.12456,"country"
"9",9,"Albania",40.9971336410827,20.1792329978173,"country"
"10",10,"Armenia",40.2790115080891,44.6684773130366,"country"
"11",1,"Azerbaijan",40.3936294,47.7872508,"country"
"12",2,"Bahrain",26.1551249,50.5344606,"country"
"13",3,"Bangladesh",24.4769288,90.2934413,"country"
"14",4,"Barbados",13.1500331,-59.5250305,"country"
"15",5,"Belarus",53.4250605,27.6971358,"country"
"16",6,"Belgium",50.6402809,4.6667145,"country"
"17",7,"Benin",9.5293472,2.2584408,"country"
"18",8,"Bhutan",27.549511,90.5119273,"country"
"19",9,"Bolivia",-17.0568696,-64.9912286,"country"
"20",10,"Bahamas The",24.830939160155,-78.0358274200227,"country"
"21",1,"Bosnia and Herzegovina",44.3053476,17.5961467,"country"
"22",2,"Brazil",-10.3333333,-53.2,"country"
"23",3,"Brunei",4.4137155,114.5653908,"country"
"24",4,"Bulgaria",42.6073975,25.4856617,"country"
"25",5,"Burkina Faso",12.0753083,-1.6880314,"country"
"26",6,"Cabo Verde",16.0000552,-24.0083947,"country"
"27",7,"Cambodia",12.5433216,104.8144914,"country"
"28",8,"Cameroon",4.6125522,13.1535811,"country"
"29",9,"Canada",61.0666922,-107.991707,"country"
"30",10,"Cape Verde",16.0000552,-24.0083947,"country"
"31",11,"Central African Republic",7.0323598,19.9981227,"country"
"32",1,"Chad",15.6134137,19.0156172,"country"
"33",2,"Chile",-31.7613365,-71.3187697,"country"
"34",3,"China",35.000074,104.999927,"country"
"35",4,"Colombia",4.099917,-72.9088133,"country"
"36",5,"Congo Brazzaville",-0.7264327,15.6419155,"country"
"37",6,"Congo Kinshasa",-2.9814344,23.8222636,"country"
"38",7,"Costa Rica",10.2735633,-84.0739102,"country"
"39",8,"Cote dIvoire",-26.0990251,28.1167392,"road"
"40",9,"Croatia",45.3658443,15.6575209,"country"
"41",10,"Cruise Ship",17.7139276,-64.8880356,"tourism"
"42",1,"Cuba",23.0131338,-80.8328748,"country"
"43",2,"Cyprus",34.9823018,33.1451285,"country"
"44",3,"Czechia",49.7439047,15.3381061,"country"
"45",4,"Denmark",55.670249,10.3333283,"country"
"46",5,"Djibouti",11.8145966,42.8453061,"country"
"47",6,"Dominica",15.4113138,-61.3653618,"country"
"48",7,"Dominica",19.0974031,-70.3028026,"country"
"49",8,"Dominican Republic",19.0974031,-70.3028026,"country"
"50",9,"East Timor",-8.7443169,126.063482,"country"
"51",10,"Ecuador",-1.3397668,-79.3666965,"country"
"52",11,"Egypt",26.2540493,29.2675469,"country"
"53",12,"El Salvador",13.8000382,-88.9140683,"country"
"54",13,"Equatorial Guinea",1.613172,10.5170357,"country"
"55",14,"Eritrea",15.9500319,37.9999668,"country"
"56",15,"Estonia",58.7523778,25.3319078,"country"
"57",16,"Eswatini",-26.5624806,31.3991317,"country"
"58",17,"Ethiopia",10.2116702,38.6521203,"country"
"59",18,"Fiji",-18.1239696,179.0122737,"country"
"60",19,"Finland",63.2467777,25.9209164,"country"
"61",20,"France",46.603354,1.8883335,"country"
"62",21,"Gabon",-0.8999695,11.6899699,"country"
"63",22,"Gambia The",13.470062,-15.4900464,"country"
"64",23,"Germany",51.1638175,10.4478313,"country"
"65",24,"Ghana",8.0300284,-1.0800271,"country"
"66",25,"Greece",38.9953683,21.9877132,"country"
"67",26,"Grenada",12.1360374,-61.6904045,"country"
"68",27,"Guatemala",15.5855545,-90.345759,"country"
"69",1,"Malaysia",4.5693754,102.2656823,"country"
"70",2,"Maldives",3.7203503,73.2244152,"country"
"71",3,"Malta",35.8885993,14.4476911,"country"
"72",4,"Mauritania",20.2540382,-9.2399263,"country"
"73",5,"Mauritius",-20.2759451,57.5703566,"country"
"74",6,"Mexico",23.6585116,-102.0077097,"country"
"75",7,"Moldova",47.2879608,28.5670941,"country"
"76",8,"Monaco",43.7323492,7.4276832,"country"
"77",9,"Mongolia",46.8250388,103.8499736,"country"
"78",10,"Morocco",31.1728205,-7.3362482,"country"
"79",11,"Mozambique",-19.302233,34.9144977,"country"
"80",12,"Namibia",-23.2335499,17.3231107,"country"
"81",13,"Nepal",28.3780464,83.9999901,"country"
"82",14,"Netherlands",52.2434979,5.6343227,"country"
"83",15,"Netherlands",52.24764975,5.54124684940616,"country"
"84",16,"New Zealand",-41.5000831,172.8344077,"country"
"85",17,"Nicaragua",12.6090157,-85.2936911,"country"
"86",18,"Niger",17.7356214,9.3238432,"country"
"87",19,"Nigeria",9.6000359,7.9999721,"country"
"88",20,"North Macedonia",41.6171214,21.7168387,"country"
"89",21,"Norway",61.1529386,8.7876653,"country"
"90",22,"Oman",21.0000287,57.0036901,"country"
"91",23,"Pakistan",30.3308401,71.247499,"country"
"92",24,"Panama",8.559559,-81.1308434,"country"
"93",25,"Papua New Guinea",-5.6816069,144.2489081,"country"
"94",26,"Paraguay",-23.3165935,-58.1693445,"country"
"95",27,"Peru",-6.8699697,-75.0458515,"country"
"96",28,"Philippines",12.7503486,122.7312101,"country"
"97",29,"Poland",52.215933,19.134422,"country"
"98",30,"Portugal",39.6621648,-8.1353519,"country"
"99",1,"Qatar",25.3336984,51.2295295,"country"
"100",2,"Republic of the Congo",-0.7264327,15.6419155,"country"
"101",3,"Romania",45.9852129,24.6859225,"country"
"102",4,"Russia",64.6863136,97.7453061,"country"
"103",5,"Rwanda",-1.9646631,30.0644358,"country"
"104",6,"Saint Lucia",13.8250489,-60.975036,"country"
"105",7,"Saint Vincent and the Grenadines",12.90447,-61.2765569,"country"
"106",8,"San Marino",43.9458623,12.458306,"country"
"107",9,"Saudi Arabia",25.6242618,42.3528328,"country"
"108",10,"Senegal",14.4750607,-14.4529612,"country"
"109",11,"Serbia",44.1534121,20.55144,"country"
"110",12,"Seychelles",-4.6574977,55.4540146,"country"
"111",13,"Singapore",1.357107,103.8194992,"country"
"112",14,"Slovakia",48.7411522,19.4528646,"country"
"113",15,"Slovenia",46.1199444,14.8153333,"country"
"114",16,"Somalia",8.3676771,49.083416,"country"
"115",17,"South Africa",-28.8166236,24.991639,"country"
"116",18,"Spain",39.3260685,-4.8379791,"country"
"117",19,"Sri Lanka",7.5554942,80.7137847,"country"
"118",20,"Sudan",14.5844444,29.4917691,"country"
"119",21,"Suriname",4.1413025,-56.0771187,"country"
"120",22,"Sweden",59.6749712,14.5208584,"country"
"121",23,"Switzerland",46.7985624,8.2319736,"country"
"122",24,"Syria",34.6401861,39.0494106,"country"
"123",25,"Taiwan",23.9739374,120.9820179,"country"
"124",26,"Tanzania",-6.5247123,35.7878438,"country"
"125",27,"Thailand",14.8971921,100.83273,"country"
"126",28,"The Gambia",13.470062,-15.4900464,"country"
"127",29,"Togo",8.7800265,1.0199765,"country"
"128",30,"Trinidad and Tobago",10.7466905,-61.0840075,"country"
"129",31,"Tunisia",33.8439408,9.400138,"country"
"130",32,"Turkey",38.9597594,34.9249653,"country"
"131",33,"US",39.7837304,-100.445882,"country"
"132",34,"Uganda",1.5333554,32.2166578,"country"
"133",35,"Ukraine",49.4871968,31.2718321,"country"
"134",36,"United Arab Emirates",24.0002488,53.9994829,"country"
"135",37,"United Kingdom",54.7023545,-3.2765753,"country"
"136",38,"Uruguay",-32.8755548,-56.0201525,"country"
"137",39,"Uzbekistan",41.32373,63.9528098,"country"
"138",40,"Venezuela",8.0018709,-66.1109318,"country"
"139",41,"Vietnam",15.9266657,107.9650855,"country"
"140",42,"Zambia",-14.5189121,27.5589884,"country"
"141",43,"Zimbabwe",-18.4554963,29.7468414,"country"
